,group,rmse
262,qp08gj,0.1617596166018267
263,qp08gm,0.1584396719793214
264,qp08gp,0.14262112132370974
265,qp08gq,0.13215013838945808
266,qp08gr,0.1480530161834425
267,qp08gt,0.11045945165037993
268,qp08gw,0.12404836017566132
269,qp08gx,0.11572892800784929
270,qp08gy,0.08117468772341441
271,qp08gz,0.04783265864690318
272,qp08un,0.06501766864008127
273,qp0900,0.34628802720700663
274,qp0901,0.08237943440002062
275,qp0902,0.05350921306828075
276,qp0903,0.07102526047717872
277,qp0904,0.07781121959421491
278,qp0905,0.07215240095308018
279,qp0907,0.05942882088109595
280,qp0909,0.07743544334778044
281,qp090b,0.1324183171828057
282,qp090c,0.04916887121494534
283,qp090d,0.0974685512457684
284,qp090e,0.10324374427380033
285,qp090h,0.07342937498104492
286,qp090j,0.10146021899038299
287,qp090k,0.12450818136486151
288,qp090m,0.054171168775601956
289,qp090n,0.09667524922687805
290,qp090q,0.06548513773185388
291,qp090s,0.15354237848597743
292,qp090t,0.3069484314602588
293,qp090w,0.022843433393467127
294,qp090x,0.054978968034033585
295,qp090y,0.10305507816961569
296,qp091g,0.09875035029862385
297,qp091m,0.09281471254920504
298,qp091q,0.09979343902575949
299,qp091t,0.06310090522475122
300,qp091u,0.09184484347659524
301,qp091v,0.0853123180583948
302,qp091w,0.05559358877649958
303,qp091x,0.07887748088489921
304,qp091y,0.05905315440301763
305,qp091z,0.11896578134979478
306,qp0920,0.03883924043761073
307,qp0921,0.0560044133021886
308,qp0922,0.07686434393467806
309,qp0923,0.10802072033879584
310,qp0926,0.06713752439633933
311,qp0927,0.12704111985458638
312,qp092e,0.058364964883563894
313,qp092h,0.10639489836724009
314,qp092k,0.19520786472808338
315,qp092n,0.12381103062359951
316,qp092p,0.053870703576566654
317,qp092q,0.3588144797054701
318,qp092s,0.052507679577941904
319,qp092w,0.11465525248744668
320,qp0932,0.08405423524208594
321,qp0936,0.10531153591694874
322,qp093b,0.06678567933215097
323,qp093c,0.032901264182344236
324,qp093d,0.09792457516647247
325,qp093e,0.07845004735440521
326,qp093f,0.10590902252238453
327,qp093p,0.08272230233670376
328,qp093q,0.07033818291097918
329,qp093r,0.042368991536475595
330,qp093s,0.09830868058618476
331,qp093t,0.09899510602768913
332,qp093u,0.06970547328223392
333,qp093v,0.07239902802875739
334,qp093x,0.2495664754114662
335,qp093y,0.08405848149774357
336,qp093z,0.09470559735129012
337,qp0946,0.09171963695689814
338,qp0947,0.062213684856243484
339,qp0949,0.0927716102168376
340,qp094b,0.07534404850749032
341,qp094c,0.09396758706610099
342,qp094g,0.0792343978036543
343,qp094h,0.06883808460593749
344,qp094j,0.0810379134554713
345,qp094k,0.06660093940775044
346,qp094m,0.06320933921303522
347,qp094p,0.04385819755873905
348,qp094q,0.07756260326436926
349,qp094t,0.03887637956812638
350,qp094u,0.11635036777881547
351,qp094w,0.08098396755244777
352,qp094x,0.038760452138177935
353,qp094z,0.11666002253894432
354,qp0950,0.17711423249276478
355,qp0951,0.12001071643486708
356,qp0952,0.14386022988721303
357,qp0953,0.1378866739563194
358,qp0954,0.14496606081187596
359,qp0957,0.13592513027718883
360,qp0958,0.11403970712093692
361,qp0959,0.10113118521664756
362,qp095b,0.06108309166626639
363,qp095c,0.08156675009071024
364,qp095e,0.10250079926671767
365,qp095g,0.07726198661692203
366,qp095j,0.11044588265534215
367,qp095k,0.12724571350198532
